Fixture ID,Date,Status,Home Team,Away Team,Home Score,Away Score,League,Country
657438,2021-01-29T12:30:00+00:00,Match Finished,Wadi Degla,Aswan Sc,0.0,0.0,Premier League,Egypt
640456,2021-01-29T12:40:00+00:00,Match Finished,Al-Fayha,Al Sahel,4.0,0.0,Division 1,Saudi-Arabia
640426,2021-01-29T12:45:00+00:00,Match Finished,Al Bukayriyah,Al Jeel,0.0,1.0,Division 1,Saudi-Arabia
640427,2021-01-29T12:50:00+00:00,Match Finished,Arar,Hajer,0.0,0.0,Division 1,Saudi-Arabia
640428,2021-01-29T12:50:00+00:00,Match Finished,Al Jabalain,Al Shoalah,0.0,0.0,Division 1,Saudi-Arabia
599121,2021-01-29T13:00:00+00:00,Match Finished,Yeni Malatyaspor,Fatih Karagümrük,0.0,0.0,Süper Lig,Turkey
659465,2021-01-29T13:00:00+00:00,Match Finished,Reading U23,Aston Villa U23,3.0,1.0,Premier League 2 Division One,England
643840,2021-01-29T13:10:00+00:00,Match Finished,Al Bataeh,Al Arabi,1.0,1.0,Division 1,United-Arab-Emirates
643841,2021-01-29T13:10:00+00:00,Match Finished,Al Thaid,Al Urooba,1.0,2.0,Division 1,United-Arab-Emirates
643842,2021-01-29T13:10:00+00:00,Match Finished,Al Taawon,Dibba Al Hisn,1.0,1.0,Division 1,United-Arab-Emirates
667604,2021-01-29T13:15:00+00:00,Match Finished,Armée,Kédia,0.0,4.0,Premier League,Mauritania
627349,2021-01-29T13:30:00+00:00,Match Cancelled,Persib Bandung,PSIS Semarang,,,Liga 1,Indonesia
651253,2021-01-29T13:30:00+00:00,Match Finished,Churchill Brothers,TRAU,1.0,1.0,I-League,India
